Index,Location,UTM_E,UTM_N
181,MOR-B10,477372,5394806
182,MOR-B11,477888,5396455
183,MOR-B12,477819.33,5396529.948
184,MOR-B13,477736,5396607
185,MOR-B14,477679,5396456
186,MOR-B15,477532,5396574
187,MOR-B16,477427,5396639
188,MOR-B17,477268,5396792
189,MOR-B18,477740,5396374
190,MOR-B19,477639,5396345
191,MOR-B20,477493,5396244
192,MOR-B21,475947,5396886
193,MOR-B22,476134,5396952
194,MOR-B23,476371,5396888
195,MOR-B24,476538,5396680
196,MOR-B25,476544,5396543
197,MOR-B26,476581,5396375
198,MOR-B27,476729,5396607
199,MOR-B28,476393,5396399
200,MOR-B29,476296,5396553
201,MOR-B30,476232,5396685
202,MUS-B01,470749,5392397
203,OWL-B01,470582.36,5408279.655
204,OWL-B02,470662,5408218
205,PIE-B01,469337.24,5395052.599
206,PIE-B02,469482.38,5394788.597
207,PIE-B03,469513.76,5395214.198
208,PIE-B04,469267.23,5394765.771
209,PIE-B05,469099.4265,5394796.215
210,PIE-B06,468855.97,5394782.242
211,PIE-B07,468900,5394929
212,PIE-B08,469221.2,5394856.495
213,PIE-B09,469141,5394574
214,PIE-B10,469081.47,5394677.281
215,PIE-B11,468845,5394628
216,PIE-B12,468990.24,5394571.763
217,PIE-B13,469076.21,5394392.988
218,PIE-B14,469177,5394390
219,PIE-B15,469519.0028,5394364.097
220,PIE-B16,469679.0021,5394545.09
221,PIE-B17,469606,5394801
222,PIE-B19,469029.94,5395059.769
223,PIE-B20,468939,5394482
224,PIE-B21,469213.83,5394490.896
225,PIE-B23,469082.73,5394913.019
226,PIE-B26,469454.67,5394910.37
227,PIE-B27,469478.5828,5395015.202
228,PIE-B28,469318.51,5394493.56
229,PIE-B29,469423,5394527
230,PIE-B30,469888.5242,5394521.488
231,PIE-B31,469746.6174,5394749.375
232,PIE-B33,469337.3606,5395155.427
233,PIE-B34,469318,5394368
234,PIE-B36,469489.4851,5394675.975
235,PIE-B37,469568.5042,5395128.527
236,PIE-B39,469362.47,5394800.555
237,PIE-B40,469324.0022,5394952.09
238,PIE-B41,468939.94,5394720.125
239,PIE-B42,469176.43,5394715.935
240,PNO-B01,477298,5404535
241,PNO-B02,477183.7019,5404086.468
242,PNO-B03,476968,5404740
243,PNO-B04,479717,5401509
244,PNO-B05,479558,5401396
245,PNO-B06,478580,5404387
246,PNO-B07,477333,5403685
247,PNO-B08,477433,5403532
248,PNO-B09,477628,5403352
249,PNO-B10,477500,5403336
250,PNO-B11,477395,5404601
251,PNO-B12,477176,5404695
252,PNO-B13,479220,5404571
253,PNO-B14,479105,5404462
254,PNO-B15,479502,5402991
255,PNO-B16,479371,5403157
256,PNO-B17,476782,5405527
257,PNO-B18,476516,5405716
258,PNO-B19,476334,5405819
259,PNO-B20,477230,5405378
260,PNO-B21,477429,5405383
261,PNO-B22,477294,5405489
262,PNO-B23,477448,5405548
263,PNO-B24,477126,5405799
264,PNO-B25,477142,5406046
265,PNO-B26,477018,5406183
266,PNO-B27,476872,5406121
267,PNO-B28,476686,5406316
268,PNO-B29,477618,5403191
269,PNO-B30,477627,5403066
270,PNO-B31,477477,5403035
271,POR-B01,471794,5396623
272,POR-B02,471903,5396553
273,POR-B03,472014.99,5396407.588
274,POR-B05,472210,5396301
275,POR-B06,472307,5396160
276,POR-B07,472529,5396197
277,POR-B08,472673,5396300
278,POR-B09,472766,5396536
279,POR-B10,472773,5396692
280,POR-B11,473037,5396559
281,POR-B12,472668.05,5396818.683
282,POR-B13,473091,5396744
283,POR-B14,472688.54,5397020.372
284,POR-B15,473306,5396943
285,POR-B16,472666,5397251
286,POR-B17,473434,5397099
287,POR-B18,472759,5397481
288,POR-B19,473305,5397323
289,POR-B20,472623,5397648
290,POR-B21,473290,5397591
291,POR-B22,472477,5397695
292,POR-B23,472353,5397633
293,POR-B24,473072,5397807
294,POR-B25,472155,5397562
295,POR-B26,472890,5397896
296,POR-B28,473405,5397251
297,POR-B29,473399,5396999
298,POR-B30,472954,5397199
299,POR-B31,472686,5396410
300,POR-B32,472737.7,5397322.621
301,POR-B33,473213,5397116
302,PRE-B01,473794,5408544
303,PRE-B02,474137,5408373
304,PRE-B03,473772,5408389
305,PRE-B04,473893,5408302
306,PRE-B05,473711,5408646
307,PRE-B06,473581,5408741
308,PRE-B07,473657,5408841
309,PRE-B08,473783,5408767
310,PRE-B09,473860,5408687
311,PRE-B10,474004,5408668
312,PRE-B11,474050,5408556
313,PRE-B12,474037,5408436
314,PRE-B13,471277.4347,5409393.367
315,PRE-B14,471432.6245,5409605.637
316,PRE-B15,471275.1445,5409899.179
317,PRE-B16,470993.7316,5410108.141
318,PRE-B17,470639.7456,5410232.273
319,PRE-B18,470347.8478,5410761.849
320,PRE-B19,470869,5409661
321,PRE-B20,470909,5409512
322,PRE-B21,471002,5409558
323,PRE-B22,470963.73,5409378.386
324,PRE-B24,471082,5409245
325,PRE-B25,471206,5409169
326,PRE-B26,471360,5409242
327,PRE-B27,471498,5409320
328,PRE-B28,471151,5409418
329,PRE-B29,470742,5409711
330,PRE-B30,471361,5409535
331,PRE-B31,471179,5409622
332,PRE-B32,471118,5409851
333,PRE-B33,471409,5409851
334,PRE-B34,471103,5410003
335,PRE-B35,471099,5410166
336,PRE-B36,473795,5408185
337,PSO-B01,482788,5400883
338,PSO-B02,482483,5401030
339,PSO-B03,483218,5400517
340,PSO-B04,483282,5400399
341,PSO-B05,483180.93,5400423.489
342,PSO-B06,482999.54,5400449.844
343,PSO-B07,482890,5400424
344,PSO-B08,482762,5400484
345,PSO-B09,482705.4,5400601.978
346,PSO-B10,482624,5400661
347,PSO-B11,482494,5400700
348,PSO-B12,485281,5399608
349,PSO-B13,485091,5399629
350,PSO-B14,484934,5399607
351,PSO-B15,484833,5399622
352,PSO-B16,484718,5399626
353,PSO-B17,484566,5399600
354,PSO-B18,484652,5399544
355,PSO-B19,484874,5399499
356,REA-B01,475757.73,5392356.808
357,RUB-B01,476942.41,5390267.006
358,RUB-B02,477039,5390295
359,RUB-B03,476966.66,5390365.365
360,RUM-B01,479420,5390012
361,RUM-B02,479604,5390039
362,RUS-B01,470169.39,5399650.12
363,RUS-B02,470315.92,5399686.413
364,RUS-B03,469676.5237,5399469.317
365,RUS-B04,470125.1896,5399742.961
366,RUS-B06,470504.5403,5399657.579
367,RUS-B07,469736.02,5399386.689
368,RUS-B08,469896,5399376
369,RUS-B09,469945,5399609
370,RUS-B10,469832,5399511
371,RUX-P01,448655.0271,5436654.052
372,RUX-P02,448657.0313,5436437.02
373,RUX-P03,448344.0149,5436586.015
374,RUX-R01,448742.4326,5436526.614
375,RUX-R02,448520.835,5436398.817
376,RUX-R03,448239.4075,5436723.738
377,SAL-B01,472781,5402374
378,SAL-B02,472914,5402442
379,SAL-B03,472981,5402326
380,SAL-B04,472921,5402081
381,SAL-B05,472777,5401935
382,SAL-B06,472676,5401697
383,SAL-B07,472505,5401701
384,SAL-B08,472307,5401908
385,SAL-B09,472217,5402140
386,SAL-B10,472279,5402337
387,SAL-B11,472475,5402374
388,SAL-B12,472355,5402556
389,SAL-B13,472530,5402634
390,SAL-B14,472383,5402757
391,SAL-B15,472449,5402903
392,SAL-B16,472460,5403062
393,SAL-B17,472252,5403117
394,SAL-B18,472118,5403298
395,SAL-B19,471928,5403316
396,SAL-B20,471712,5403254
397,SAL-B21,471580,5403458
398,SAL-B22,471536,5403638
399,SAL-B23,471731,5403053
400,SAL-B24,467242.28,5403275.656
401,SAL-B25,467319,5403341
402,SAL-B26,467325,5403537
403,SAL-B27,462099,5405611
404,SAL-B28,462109,5405425
405,SAL-B29,462244,5405833
406,SAL-B30,462416,5405873
407,SAL-B31,462364,5405770
408,SAL-B32,462381,5406057
409,SAL-B33,461384,5406404
410,SAL-B34,461434,5408927
411,SAL-B35,461508,5408699
412,SAL-B36,461100,5414199
413,SAL-B37,461317,5414154
414,SAL-B38,460869,5414166
415,SAL-B39,460786,5414382
416,SAL-B40,460753,5415257
417,SAL-B41,460643,5415547
418,SAL-B42,466666,5403431
419,SAL-B43,466704,5403587
420,SAL-B44,466688,5403728
421,SAL-B45,466766,5403804
422,SAL-B46,466884,5403657
423,SAL-B47,466935,5403559
424,SAL-B48,467772,5403759
425,SAL-B49,467646,5403739
426,SAL-B50,467710,5404109
427,SAL-B51,467828,5404039
428,SAL-B52,466753.66,5406586.282
429,SAL-B53,466659.55,5406622.388
430,SAL-B54,465830,5407130
431,SAL-B55,465674,5407268
432,SAL-B56,463008,5404050
433,SAL-B57,463216,5403928
434,SAL-B58,462404,5404478
435,SAL-B59,462529,5404403
436,SAL-B60,461661,5404786
437,SAL-B61,461466,5404908
438,SAL-B62,461280,5405108
439,SAL-B63,461082,5405232
440,SAL-B64,467272.279,5397357.543
441,SAL-B65,467177.4746,5397305.74
442,SAL-B66,467077.7777,5397285.203
443,SAT-B01,485371,5403695
444,SAT-B02,485402,5403576
445,SAT-B03,485266,5403597
