Site,Repeats,Start,Max
396,1,1042,0
397,1,1043,0
398,1,1044,1
399,3,1045,1
400,1,1048,0
401,3,1049,1
402,1,1052,0
403,1,1053,1
404,1,1054,1
405,3,1055,1
406,3,1058,1
407,2,1061,0
408,3,1063,1
409,1,1066,0
410,1,1067,0
411,1,1068,0
412,1,1069,0
413,2,1070,0
414,3,1072,0
415,3,1075,0
416,1,1078,0
417,3,1079,0
418,1,1082,0
419,1,1083,0
420,1,1084,0
421,1,1085,0
422,1,1086,0
423,1,1087,0
424,1,1088,0
425,3,1089,0
426,3,1092,0
427,1,1095,0
428,1,1096,0
429,1,1097,1
430,1,1098,0
431,1,1099,0
432,1,1100,0
433,3,1101,0
434,1,1104,0
435,1,1105,0
436,3,1106,0
437,3,1109,1
438,3,1112,1
439,1,1115,0
440,3,1116,0
441,3,1119,0
442,3,1122,1
443,1,1125,0
444,1,1126,0
445,1,1127,0
446,1,1128,0
447,1,1129,0
448,1,1130,0
449,1,1131,0
450,3,1132,0
451,1,1135,0
452,1,1136,0
453,1,1137,0
454,3,1138,1
455,3,1141,1
456,3,1144,1
457,3,1147,1
458,3,1150,1
459,1,1153,0
460,1,1154,0
461,1,1155,0
462,1,1156,0
463,1,1157,0
464,1,1158,0
465,1,1159,0
466,1,1160,0
467,1,1161,0
468,1,1162,0
469,1,1163,0
470,3,1164,1
471,1,1167,0
472,1,1168,0
473,3,1169,1
474,1,1172,0
475,1,1173,0
476,3,1174,0
477,1,1177,0
478,3,1178,0
479,1,1181,0
480,1,1182,0
481,3,1183,0
482,3,1186,0
483,3,1189,0
484,4,1192,0
485,7,1196,1
486,11,1203,1
487,6,1214,1
488,7,1220,0
489,4,1227,1
490,5,1231,1
491,6,1236,0
492,3,1242,1
493,2,1245,0
494,2,1247,1
495,2,1249,0
496,2,1251,0
497,2,1253,0
498,3,1255,0
499,2,1258,0
500,2,1260,0
501,3,1262,0
502,3,1265,1
503,2,1268,0
504,3,1270,0
505,5,1273,0
506,5,1278,1
507,7,1283,0
508,5,1290,0
509,5,1295,1
510,4,1300,0
511,4,1304,1
512,1,1308,1
513,1,1309,1
514,1,1310,0
515,3,1311,0
516,1,1314,0
517,3,1315,0
518,3,1318,1
519,3,1321,1
520,3,1324,0
521,1,1327,0
522,3,1328,0
523,1,1331,0
524,3,1332,0
525,3,1335,1
526,1,1338,0
527,3,1339,0
528,1,1342,0
529,3,1343,0
530,3,1346,0
531,3,1349,1
532,3,1352,0
533,3,1355,0
534,3,1358,0
535,1,1361,1
536,3,1362,1
537,1,1365,0
538,3,1366,1
539,2,1369,0
540,3,1371,1
541,3,1374,0
542,3,1377,0
543,3,1380,0
544,3,1383,0
545,3,1386,0
