OCODES,TIME,DATE_JUL
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,0.941089761,-0.460418519
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,0.941089761,-0.157913834
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,0.941089761,0.043755957
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,0.941089761,0.295843195
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,0.941089761,0.497512985
PA,0.941089761,1.001687461
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,0.941089761,1.304192147
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
TM,0.637041146,2.322624589
TM,0.758660592,1.798283134
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
TM,0.637041146,3.583060779
TM,0.758660592,1.959618966
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
TM,0.697850869,-0.773006695
TM,0.819470315,-0.762923205
AB,1.488377268,-0.01674498
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
TM,0.697850869,0.033672467
TM,0.819470315,1.626863812
PA,-0.944011652,1.979785945
LS,0.211373085,0.810101161
LS,0.272182808,2.100787819
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
TM,0.697850869,0.739516734
TM,0.819470315,-0.137746855
AB,1.488377268,0.275676216
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
TM,0.697850869,1.435277511
TM,0.819470315,0.83026814
AB,1.488377268,-0.22849826
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
TM,0.697850869,1.717615218
TM,0.819470315,0.336177153
AB,1.488377268,-0.490668988
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
TM,0.697850869,2.050370372
TM,0.819470315,0.527763454
AB,1.488377268,-0.732672736
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
TM,0.637041146,0.144590852
TM,0.758660592,-0.077245917
PA,-0.944011652,2.92763396
LS,0.211373085,1.909201519
PA,0.272182808,1.203357252
AB,1.488377268,-1.549435388
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
TM,0.697850869,2.30245761
TM,0.819470315,1.344526105
AB,1.488377268,-1.357849087
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
TM,0.637041146,0.336177153
TM,0.758660592,0.094173404
LS,-0.944011652,2.816715576
PA,0.211373085,1.858784071
LS,0.272182808,1.2537747
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
TM,0.637041146,0.729433244
TM,0.758660592,0.275676216
PA,-0.944011652,2.705797191
LS,0.211373085,1.66719777
PA,0.272182808,1.405027042
AB,1.488377268,-1.065427891
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
TM,0.637041146,0.971436993
TM,0.758660592,0.457179027
PA,-0.944011652,2.564628338
PA,0.211373085,1.586529854
LS,0.272182808,1.495778448
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
TM,0.637041146,1.203357252
TM,0.758660592,0.628598349
LS,-0.944011652,2.51421089
PA,0.211373085,1.354609595
PA,0.272182808,1.616780322
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
TM,0.637041146,1.45544449
TM,0.758660592,0.789934181
PA,-0.944011652,2.362958547
PA,0.211373085,1.163023294
LS,0.272182808,1.687364749
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
TM,0.637041146,1.858784071
TM,0.758660592,1.112605846
PA,-0.944011652,2.161288757
LS,0.211373085,1.011770951
LS,0.272182808,1.889034539
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
TM,0.637041146,2.030203393
TM,0.758660592,1.384860063
LS,-0.944011652,2.050370372
PA,0.211373085,0.880685587
PA,0.272182808,2.08062084
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
KJ,-0.275104699,0.094173404
TM,0.637041146,-0.087329407
TM,0.758660592,-0.258748729
PA,-0.944011652,0.870602098
PA,0.211373085,-0.500752477
PA,0.272182808,2.907466981
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
LS,-0.275104699,0.295843195
LS,-0.944011652,0.931103035
LS,0.211373085,-0.44025154
LS,0.272182808,3.058719324
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
KJ,-0.275104699,0.346260642
LS,-0.944011652,1.132772825
PA,0.211373085,-0.339416645
LS,0.272182808,2.877216513
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
LS,-0.275104699,0.527763454
PA,-0.944011652,1.163023294
LS,0.211373085,-0.218414771
PA,0.272182808,2.736047659
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
KJ,-0.275104699,0.638681839
PA,-0.944011652,1.314275637
PA,0.211373085,-0.147830344
LS,0.272182808,2.645296254
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
LS,-0.275104699,0.749600223
PA,-0.944011652,1.495778448
PA,0.211373085,-0.046995449
PA,0.272182808,2.534377869
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
KJ,-0.275104699,0.890769077
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
LS,-0.275104699,0.991603972
TM,0.697850869,-0.541086436
TM,0.819470315,-0.581420394
LS,-0.944011652,1.556279385
LS,0.211373085,0.174841321
LS,0.272182808,2.483960421
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
KJ,-0.275104699,1.062188399
PA,-0.944011652,1.717615218
PA,0.211373085,0.063922936
LS,0.272182808,2.352875058
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
LS,-0.275104699,1.223524231
TM,0.697850869,-0.329333156
TM,0.819470315,-0.389834093
LS,-0.944011652,1.778116155
PA,0.211373085,0.648765328
PA,0.272182808,2.282290631
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
KJ,-0.275104699,1.334442616
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
LS,-0.944011652,2.262123652
LS,0.211373085,1.304192147
PA,0.272182808,1.889034539
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
RS,-0.396724145,0.850435119
PA,-0.396724145,-1.962858458
PA,-0.335914422,-1.851940074
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,-0.396724145,-0.02682847
RS,-0.335914422,-0.561253415
PA,-0.335914422,0.416845069
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,-0.396724145,0.104256894
RS,-0.335914422,-0.44025154
RS,-0.335914422,0.40676158
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,-0.396724145,0.245425747
RS,-0.335914422,-0.309166177
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,-0.396724145,0.60843137
PA,-0.335914422,-0.510835967
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
RS,-0.396724145,-1.972941948
RS,-0.396724145,0.961353503
RS,-0.335914422,-1.892274032
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
KJ,-1.248060267,0.689099286
KJ,-0.883201929,-0.288999197
KJ,0.028943916,-0.853674611
PA,0.332992531,1.334442616
PA,0.880280038,0.800017671
KJ,1.366757822,-0.45033503
KJ,2.035664775,0.033672467
KJ,2.400523113,-0.470502009
AB,0.637041146,1.001687461
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,1.670806437,-0.66208831
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
KJ,-1.248060267,1.052104909
KJ,-0.883201929,-0.591503883
KJ,0.028943916,-1.146095807
PA,0.332992531,1.122689336
PA,0.880280038,1.052104909
KJ,1.366757822,-0.137746855
KJ,2.035664775,0.255509237
KJ,2.400523113,-0.188164302
AB,0.637041146,0.517679964
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,0.880280038,1.304192147
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,-0.518343591,0.426928559
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,-0.518343591,-0.057078938
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,-0.518343591,0.779850692
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
LS,1.488377268,-1.781355647
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
