Site,Near,Distance
101,100,223.30472453600
102,103,184.45866745700
102,105,206.24257562400
103,102,184.45866745700
103,104,201.91087142600
104,103,201.91087142600
105,102,206.24257562400
106,107,205.91260282000
107,106,205.91260282000
107,108,206.93960471600
108,107,206.93960471600
109,110,167.28717823000
110,109,167.28717823000
111,112,187.83337080000
112,111,187.83337080000
112,113,178.88280241900
113,112,178.88280241900
114,115,184.73305818300
115,114,184.73305818300
115,116,205.10893346600
116,115,205.10893346600
117,118,167.61710516600
118,117,167.61710516600
120,121,222.71144157400
121,120,222.71144157400
123,124,220.24873273800
124,123,220.24873273800
127,128,100.37947200500
128,127,100.37947200500
129,130,174.75845693100
130,129,174.75845693100
130,131,188.60881837700
131,130,188.60881837700
131,132,208.74213780300
132,131,208.74213780300
133,136,156.06224339100
134,136,128.02300374000
134,137,163.14122359000
135,137,161.12148197500
135,138,161.00420886700
136,133,156.06224339100
136,134,128.02300374000
137,134,163.14122359000
137,135,161.12148197500
138,135,161.00420886700
139,484,177.60861381400
140,142,207.27276714500
140,143,159.30418643600
141,143,101.03684385400
142,140,207.27276714500
143,140,159.30418643600
143,141,101.03684385400
144,145,209.35376758000
144,148,156.31058825300
145,144,209.35376758000
146,147,216.33307652800
147,146,216.33307652800
148,144,156.31058825300
149,150,215.24404753700
150,149,215.24404753700
150,151,148.80860190200
151,150,148.80860190200
151,152,199.97249810900
152,151,199.97249810900
152,153,211.30309983500
153,152,211.30309983500
153,154,244.24782496500
154,153,244.24782496500
154,155,228.97379762800
155,154,228.97379762800
155,156,220.60145058500
156,155,220.60145058500
156,157,208.49220608900
157,156,208.49220608900
157,158,101.18659283200
157,159,201.86660954500
157,160,196.74348782100
158,157,101.18659283200
158,159,100.68093811600
158,160,168.29877768100
159,157,201.86660954500
159,158,100.68093811600
159,160,195.22366672300
160,157,196.74348782100
160,158,168.29877768100
160,159,195.22366672300
160,161,166.41213898000
161,160,166.41213898000
162,163,119.09948003200
162,164,218.99738556400
162,169,235.30918839700
162,171,219.41766142200
163,162,119.09948003200
163,164,101.33956954700
163,169,165.95180023100
163,170,159.70597985000
163,171,165.74679484100
164,162,218.99738556400
164,163,101.33956954700
164,165,191.65472171600
164,169,138.99238956100
164,170,115.18114583600
164,171,199.77085962700
165,164,191.65472171600
165,166,199.84994370800
165,167,223.66045694300
165,169,224.89997776800
165,170,232.41772737900
166,165,199.84994370800
166,167,193.79370474800
167,165,223.66045694300
167,166,193.79370474800
167,168,141.50971698100
167,169,220.88005795000
168,167,141.50971698100
168,169,138.45215780200
169,162,235.30918839700
169,163,165.95180023100
169,164,138.99238956100
169,165,224.89997776800
169,167,220.88005795000
169,168,138.45215780200
170,163,159.70597985000
170,164,115.18114583600
170,165,232.41772737900
170,171,131.85598204100
171,162,219.41766142200
171,163,165.74679484100
171,164,199.77085962700
171,170,131.85598204100
172,173,100.75278497900
172,174,241.30478652500
173,172,100.75278497900
173,174,160.71474008600
174,172,241.30478652500
174,173,160.71474008600
174,175,179.69418465800
174,176,205.30221625700
175,174,179.69418465800
175,176,102.25947388900
176,174,205.30221625700
176,175,102.25947388900
176,177,178.63930138700
176,181,173.10401497400
177,176,178.63930138700
177,178,183.06829326800
177,179,211.45448682900
177,180,227.07928130900
177,181,108.30050784700
178,177,183.06829326800
178,179,145.34441853700
179,177,211.45448682900
179,178,145.34441853700
179,180,166.48123017300
179,181,234.76371099500
180,177,227.07928130900
180,179,166.48123017300
180,181,166.88319268300
181,176,173.10401497400
181,177,108.30050784700
181,179,234.76371099500
181,180,166.88319268300
182,183,101.65024153400
182,184,214.96046148100
182,185,209.00239233100
182,189,168.71573726200
183,182,101.65024153400
183,184,113.49405096300
183,185,158.62161140300
183,189,174.96578981000
184,182,214.96046148100
184,183,113.49405096300
184,185,161.40012391600
184,186,206.65188119200
184,189,233.03433223500
185,182,209.00239233100
185,183,158.62161140300
185,184,161.40012391600
185,186,188.50198937900
185,189,102.20078277600
185,190,117.98728745100
186,184,206.65188119200
186,185,188.50198937900
186,187,123.49089035200
187,186,123.49089035200
187,188,220.65810658100
188,187,220.65810658100
189,182,168.71573726200
189,183,174.96578981000
189,184,233.03433223500
189,185,102.20078277600
189,190,105.08092119900
190,185,117.98728745100
190,189,105.08092119900
190,191,177.53027910800
191,190,177.53027910800
192,193,198.30532015100
193,192,198.30532015100
193,194,245.48930730300
194,193,245.48930730300
194,201,246.02845363900
195,196,137.13132392000
195,198,204.47493734000
196,195,137.13132392000
196,197,172.02616080100
196,198,195.75750304900
196,199,208.65521800300
196,200,248.20153101900
197,196,172.02616080100
197,199,189.52572384800
198,195,204.47493734000
198,196,195.75750304900
199,196,208.65521800300
199,197,189.52572384800
199,200,182.00274723200
200,196,248.20153101900
200,199,182.00274723200
200,201,146.69696656700
201,194,246.02845363900
201,200,146.69696656700
203,204,100.71677429800
204,203,100.71677429800
205,207,239.31892361600
205,212,227.86412709400
205,226,184.44211379500
205,227,146.20643871200
205,232,102.82807072200
205,235,243.40951375300
205,237,101.37701134800
206,208,216.35745602100
206,221,124.24064877900
206,226,124.88597851200
206,227,226.63681243900
206,234,112.84590081200
206,236,120.50477942400
206,237,227.62576431900
207,205,239.31892361600
207,227,202.08127923200
207,232,185.93218861000
207,235,101.66832188400
208,206,216.35745602100
208,209,170.54283436500
208,212,101.73300878300
208,213,229.58686665600
208,214,205.76019464400
208,225,236.05555173300
208,226,236.73323467800
208,234,239.70951397900
208,236,101.39321602600
208,237,194.77641657500
208,239,103.57734740800
209,208,170.54283436500
209,210,243.85721919700
209,211,239.58862548500
209,212,135.87645369900
209,213,226.07081736500
209,214,120.28224025300
209,216,249.60079979900
209,225,117.99096152300
209,238,176.70794897900
209,239,111.24058159100
210,209,243.85721919700
210,211,153.22059738900
210,214,248.73090182100
210,215,154.63161211000
210,216,249.65945273700
210,238,104.44846858100
211,209,239.58862548500
211,210,153.22059738900
211,222,184.35003379700
211,225,183.42749319800
211,238,212.65927965900
212,205,227.86412709400
212,208,101.73300878300
212,209,135.87645369900
212,214,227.24904993400
212,225,149.56237319600
212,226,239.60541839700
212,236,151.94241178800
212,237,140.38054120800
212,239,147.51768199200
213,208,229.58686665600
213,209,226.07081736500
213,214,119.20900075500
213,216,150.77659556100
213,217,192.25786913400
213,218,187.48866632400
213,223,221.96396103900
213,224,110.50105753400
213,228,194.88559131000
213,238,248.55107971000
213,239,146.29022224600
214,208,205.76019464400
214,209,120.28224025300
214,210,248.73090182100
214,212,227.24904993400
214,213,119.20900075500
214,215,241.55056998700
214,216,139.48821177400
214,223,241.72788391300
214,224,228.60126383100
214,225,235.74136727300
214,238,147.87274676500
214,239,102.52576903400
215,210,154.63161211000
215,214,241.55056998700
215,216,155.74741657200
215,223,173.64331256900
215,238,132.28990598300
216,209,249.60079979900
216,210,249.65945273700
216,213,150.77659556100
216,214,139.48821177400
216,215,155.74741657200
216,217,198.37172561900
216,223,103.35827866700
216,224,237.76450489700
216,238,156.65686401800
216,239,235.48308152400
217,213,192.25786913400
217,216,198.37172561900
217,218,100.83428109500
217,223,163.55341709700
217,224,168.89417060400
217,233,243.07777406400
218,213,187.48866632400
218,217,100.83428109500
218,224,107.40787548400
218,228,175.35607688300
218,233,142.70599146500
219,220,241.57450620800
219,228,238.65881760500
219,229,189.08708315700
219,233,201.04068995300
220,219,241.57450620800
220,230,210.84725464800
220,231,215.18408402800
220,234,230.32059507100
221,206,124.24064877900
221,226,186.71519970300
221,227,249.23410613300
221,231,149.79450526600
221,234,170.90047556100
221,236,243.53040657200
222,211,184.35003379700
222,225,155.95623296300
223,213,221.96396103900
223,214,241.72788391300
223,215,173.64331256900
223,216,103.35827866700
223,217,163.55341709700
223,238,238.12685532100
224,213,110.50105753400
224,214,228.60126383100
224,216,237.76450489700
224,217,168.89417060400
224,218,107.40787548400
224,228,104.71389256400
224,229,212.26301542200
224,233,161.10498352300
224,239,228.12564853800
225,208,236.05555173300
225,209,117.99096152300
225,211,183.42749319800
225,212,149.56237319600
225,214,235.74136727300
225,222,155.95623296300
225,237,244.41525634400
225,238,239.99391520600
225,239,218.22418073200
226,205,184.44211379500
226,206,124.88597851200
226,208,236.73323467800
226,212,239.60541839700
226,221,186.71519970300
226,227,107.52474239800
226,234,236.96646854200
226,235,246.07052188000
226,236,143.38819416200
226,237,137.16644034500
227,205,146.20643871200
227,206,226.63681243900
227,207,202.08127923200
227,221,249.23410613300
227,226,107.52474239800
227,232,199.01447283500
227,235,144.66656076300
227,236,244.03999043800
227,237,166.96792039300
228,213,194.88559131000
228,218,175.35607688300
228,219,238.65881760500
228,224,104.71389256400
228,229,109.71049949800
228,233,125.56103575500
229,219,189.08708315700
229,224,212.26301542200
229,228,109.71049949800
229,233,190.54133409800
229,234,163.13742411500
230,220,210.84725464800
231,220,215.18408402800
231,221,149.79450526600
232,205,102.82807072200
232,207,185.93218861000
232,227,199.01447283500
232,235,232.70361798000
232,237,203.77532338300
233,217,243.07777406400
233,218,142.70599146500
233,219,201.04068995300
233,224,161.10498352300
233,228,125.56103575500
233,229,190.54133409800
234,206,112.84590081200
234,208,239.70951397900
234,220,230.32059507100
234,221,170.90047556100
234,226,236.96646854200
234,229,163.13742411500
234,236,177.91293384100
235,205,243.40951375300
235,207,101.66832188400
235,226,246.07052188000
235,227,144.66656076300
235,232,232.70361798000
236,206,120.50477942400
236,208,101.39321602600
236,212,151.94241178800
236,221,243.53040657200
236,226,143.38819416200
236,227,244.03999043800
236,234,177.91293384100
236,237,156.34138243600
236,239,204.38059105500
237,205,101.37701134800
237,206,227.62576431900
237,208,194.77641657500
237,212,140.38054120800
237,225,244.41525634400
237,226,137.16644034500
237,227,166.96792039300
237,232,203.77532338300
237,236,156.34138243600
238,209,176.70794897900
238,210,104.44846858100
238,211,212.65927965900
238,213,248.55107971000
238,214,147.87274676500
238,215,132.28990598300
238,216,156.65686401800
238,223,238.12685532100
238,225,239.99391520600
238,239,236.52711514800
239,208,103.57734740800
239,209,111.24058159100
239,212,147.51768199200
239,213,146.29022224600
239,214,102.52576903400
239,216,235.48308152400
239,224,228.12564853800
239,225,218.22418073200
239,236,204.38059105500
239,238,236.52711514800
240,250,117.32433677600
240,251,201.20636172800
242,251,212.81212371500
243,244,195.06409203100
244,243,195.06409203100
246,247,182.78129007100
247,246,182.78129007100
247,249,207.13522153400
248,249,128.99612397300
248,268,161.31026005800
249,247,207.13522153400
249,248,128.99612397300
249,268,186.94651641600
250,240,117.32433677600
250,251,238.32121181300
251,240,201.20636172800
251,242,212.81212371500
251,250,238.32121181300
252,253,158.44872987800
253,252,158.44872987800
254,255,211.46394491700
255,254,211.46394491700
257,258,209.12436491200
258,257,209.12436491200
259,260,199.06280416000
259,261,128.12884140600
260,259,199.06280416000
260,261,171.64206943500
260,262,166.09033686500
261,259,128.12884140600
261,260,171.64206943500
261,262,164.91512968800
262,260,166.09033686500
262,261,164.91512968800
263,264,247.51767613600
264,263,247.51767613600
264,265,184.78365728600
265,264,184.78365728600
265,266,158.61904047100
266,265,158.61904047100
268,248,161.31026005800
268,249,186.94651641600
268,269,125.32358118100
268,270,210.27838690700
269,268,125.32358118100
269,270,153.16984037300
270,268,210.27838690700
270,269,153.16984037300
271,272,129.54149914200
272,271,129.54149914200
272,273,183.53857862500
273,272,183.53857862500
273,274,222.23838967200
274,273,222.23838967200
274,275,171.14321488200
275,274,171.14321488200
275,276,225.06221362100
276,275,225.06221362100
276,277,177.04519197100
277,276,177.04519197100
277,299,110.76551810000
278,279,156.15697230700
278,299,149.25146565400
279,278,156.15697230700
279,281,164.50861676200
280,282,192.72000415100
281,279,164.50861676200
281,283,202.72713883700
282,280,192.72000415100
283,281,202.72713883700
283,285,231.72683483700
284,286,201.79197209000
284,297,108.55873986000
284,301,196.41283053800
285,283,231.72683483700
285,287,248.09070921700
285,300,101.34326638200
286,284,201.79197209000
286,296,154.74172029500
286,297,105.94810050200
286,301,221.65288177700
287,285,248.09070921700
287,289,215.37177159500
287,300,159.80487364600
288,296,123.22337440600
288,301,226.52372944100
289,287,215.37177159500
289,291,153.37861650200
291,289,153.37861650200
291,292,138.63621460500
292,291,138.63621460500
292,294,210.34495477700
293,295,202.59565641900
294,292,210.34495477700
295,293,202.59565641900
296,286,154.74172029500
296,288,123.22337440600
296,301,234.71045992900
297,284,108.55873986000
297,286,105.94810050200
297,301,219.73848092700
298,300,249.13418400700
299,277,110.76551810000
299,278,149.25146565400
300,285,101.34326638200
300,287,159.80487364600
300,298,249.13418400700
301,284,196.41283053800
301,286,221.65288177700
301,288,226.52372944100
301,296,234.71045992900
301,297,219.73848092700
302,304,156.55350523100
302,306,131.50285168000
302,309,223.27113561800
302,310,157.49603169600
302,311,243.87701818700
303,312,202.62773748900
303,313,118.19052415500
304,302,156.55350523100
304,305,149.03019828200
304,336,205.29247429000
305,304,149.03019828200
305,313,196.70282153500
305,336,152.62044424000
306,302,131.50285168000
306,307,161.01242188100
306,308,202.33882474700
306,309,140.80127840300
306,310,154.53802121200
307,306,161.01242188100
307,308,125.60254774500
307,309,203.66639389000
308,306,202.33882474700
308,307,125.60254774500
308,309,146.12323566100
309,302,223.27113561800
309,306,140.80127840300
309,307,203.66639389000
309,308,146.12323566100
309,310,111.03603018800
309,311,242.16110340000
310,302,157.49603169600
310,306,154.53802121200
310,309,111.03603018800
310,311,145.24806367000
310,312,230.78344828000
311,302,243.87701818700
311,309,242.16110340000
311,310,145.24806367000
311,312,121.07848694100
311,313,234.33522995900
312,303,202.62773748900
312,310,230.78344828000
312,311,121.07848694100
312,313,120.70211265800
313,303,118.19052415500
313,305,196.70282153500
313,311,234.33522995900
313,312,120.70211265800
314,324,245.37229611000
314,325,235.46459999400
314,326,172.42120122600
314,327,232.44741675500
314,328,128.81190744700
314,330,164.44754680500
314,331,248.92233327700
315,330,100.59642619800
315,333,246.49782477800
316,332,164.36412367600
316,333,142.26198357900
316,334,201.02889140600
317,334,151.63846476600
317,335,120.12115391700
320,321,154.27572719000
320,322,168.22009392500
320,329,136.48809471900
321,320,154.27572719000
321,322,103.75451797400
321,323,144.38862107500
322,320,168.22009392500
322,321,103.75451797400
322,323,183.64580555000
322,328,204.45292856800
322,331,188.21530224700
323,321,144.38862107500
323,322,183.64580555000
323,324,178.26838725900
323,328,191.41400653000
324,314,245.37229611000
324,323,178.26838725900
324,325,145.43727170200
324,328,186.25251676200
325,314,235.46459999400
325,324,145.43727170200
325,326,170.42593699300
326,314,172.42120122600
326,325,170.42593699300
326,327,158.51813776300
327,314,232.44741675500
327,326,158.51813776300
328,314,128.81190744700
328,322,204.45292856800
328,323,191.41400653000
328,324,186.25251676200
328,330,240.39342753100
328,331,205.91260282000
329,320,136.48809471900
330,314,164.44754680500
330,315,100.59642619800
330,328,240.39342753100
330,331,201.72506041600
331,314,248.92233327700
331,322,188.21530224700
331,328,205.91260282000
331,330,201.72506041600
331,332,236.98523160700
332,316,164.36412367600
332,331,236.98523160700
332,334,152.73833834400
333,315,246.49782477800
333,316,142.26198357900
334,316,201.02889140600
334,317,151.63846476600
334,332,152.73833834400
334,335,163.04907236800
335,317,120.12115391700
335,334,163.04907236800
336,304,205.29247429000
336,305,152.62044424000
339,340,134.23859355600
339,341,100.59071538200
339,342,228.54911930700
340,339,134.23859355600
340,341,103.99449995600
341,339,100.59071538200
341,340,103.99449995600
341,342,183.29462110200
342,339,228.54911930700
342,341,183.29462110200
342,343,112.54742971700
342,344,239.98309093800
343,342,112.54742971700
343,344,141.36477637700
344,342,239.98309093800
344,343,141.36477637700
344,345,130.85246839100
344,346,224.43930137100
345,344,130.85246839100
345,346,100.54629025500
345,347,233.01989718500
346,344,224.43930137100
346,345,100.54629025500
346,347,135.72398461600
347,345,233.01989718500
347,346,135.72398461600
348,349,191.15700353400
349,348,191.15700353400
349,350,158.53390804500
350,349,158.53390804500
350,351,102.10778618700
350,352,216.83403791800
350,355,123.54756169200
351,350,102.10778618700
351,352,115.06954419000
351,354,197.09134937900
351,355,129.65338406700
352,350,216.83403791800
352,351,115.06954419000
352,353,154.20765221000
352,354,105.26157893600
352,355,201.15914098000
353,352,154.20765221000
353,354,102.62553288500
354,351,197.09134937900
354,352,105.26157893600
354,353,102.62553288500
354,355,226.51490017200
355,350,123.54756169200
355,351,129.65338406700
355,352,201.15914098000
355,354,226.51490017200
357,69,173.13609714900
357,358,100.56486531600
357,359,101.30427128700
358,69,231.24445939300
358,357,100.56486531600
358,359,100.91733659300
359,69,137.62557474900
359,357,101.30427128700
359,358,100.91733659300
360,361,185.97042775700
361,360,185.97042775700
362,363,150.95768529300
362,365,102.82591532300
362,369,228.12655807700
363,362,150.95768529300
363,365,198.93662876000
363,366,190.81156494000
364,367,101.81904016400
364,368,238.49069528800
364,370,160.96702460100
365,362,102.82591532300
365,363,198.93662876000
365,369,224.53042154000
366,363,190.81156494000
367,364,101.81904016400
367,368,160.33669299600
367,370,157.05217324500
368,364,238.49069528800
368,367,160.33669299600
368,369,238.09661904400
368,370,149.40214188600
369,362,228.12655807700
369,365,224.53042154000
369,368,238.09661904400
369,370,149.57606760400
370,364,160.96702460100
370,367,157.05217324500
370,368,149.40214188600
370,369,149.57606760400
371,372,217.04125377900
371,374,154.53208493500
372,371,217.04125377900
372,374,123.77587356900
372,375,141.45282373500
373,376,172.94604032400
374,371,154.53208493500
374,372,123.77587356900
375,372,141.45282373500
376,373,172.94604032400
377,378,149.37536610800
377,379,205.67936211500
378,377,149.37536610800
378,379,133.95894893600
379,377,205.67936211500
379,378,133.95894893600
380,381,205.06584308500
381,380,205.06584308500
382,383,171.04677722800
383,382,171.04677722800
384,385,248.84533349100
385,384,248.84533349100
385,386,206.52602741500
386,385,206.52602741500
386,387,199.46177578700
386,388,231.81242417100
387,386,199.46177578700
387,388,218.00000000000
388,386,231.81242417100
388,387,218.00000000000
388,389,191.59592897600
388,390,202.94087809000
389,388,191.59592897600
389,390,191.67159414000
390,388,202.94087809000
390,389,191.67159414000
390,391,160.22484201900
391,390,160.22484201900
391,392,159.38004894000
392,391,159.38004894000
392,393,215.14878572700
393,392,215.14878572700
393,394,225.20435164500
394,393,225.20435164500
394,395,190.85072700900
395,394,190.85072700900
395,396,224.72205054200
396,395,224.72205054200
396,397,242.98148077600
396,399,201.89601283800
397,396,242.98148077600
397,398,185.29975715000
398,397,185.29975715000
399,396,201.89601283800
400,401,100.77597300900
401,400,100.77597300900
401,402,196.09181522900
402,401,196.09181522900
403,404,186.26862323000
404,403,186.26862323000
405,406,176.58992043700
405,407,135.53228397700
406,405,176.58992043700
406,407,115.38197432900
406,408,187.29922583900
407,405,135.53228397700
407,406,115.38197432900
408,406,187.29922583900
410,411,239.70815589000
411,410,239.70815589000
412,413,221.61678636800
412,414,233.34523779200
413,412,221.61678636800
414,412,233.34523779200
414,415,231.39792566100
415,414,231.39792566100
418,419,160.56151469100
419,418,160.56151469100
419,420,141.90489773100
419,421,225.68340656800
419,422,193.13207915800
419,423,232.69078194000
420,419,141.90489773100
420,421,108.90362712000
420,422,208.46342604900
421,419,225.68340656800
421,420,108.90362712000
421,422,188.50198937900
422,419,193.13207915800
422,420,208.46342604900
422,421,188.50198937900
422,423,110.47624179000
423,419,232.69078194000
423,422,110.47624179000
424,425,127.57742747100
425,424,127.57742747100
426,427,137.20058308900
427,426,137.20058308900
428,429,100.79848875900
429,428,100.79848875900
430,431,208.27865949300
431,430,208.27865949300
432,433,241.13896408500
433,432,241.13896408500
434,435,145.77379737100
435,434,145.77379737100
436,437,230.01956438500
437,436,230.01956438500
438,439,233.62362894200
439,438,233.62362894200
440,441,108.03436984700
440,442,207.51826739300
441,440,108.03436984700
441,442,101.79017751600
442,440,207.51826739300
442,441,101.79017751600
443,444,122.97154142300
443,445,143.62799170100
444,443,122.97154142300
444,445,137.61177275200
444,446,241.57193545600
445,443,143.62799170100
445,444,137.61177275200
445,446,168.07736314000
446,444,241.57193545600
446,445,168.07736314000
449,450,223.22186272900
450,449,223.22186272900
450,451,138.65785228400
450,452,199.47180251900
451,450,138.65785228400
451,452,116.10770861600
451,455,243.64728605100
452,450,199.47180251900
452,451,116.10770861600
452,453,214.13313615600
452,455,142.08800090100
453,452,214.13313615600
453,454,110.05907504600
453,455,197.20547659700
454,453,110.05907504600
455,451,243.64728605100
455,452,142.08800090100
455,453,197.20547659700
456,457,179.12007146000
457,456,179.12007146000
457,458,148.48905683600
458,457,148.48905683600
