Name,Site,Nbrs,Start
ANA-B01,1,1,1
ANA-B02,2,1,2
ARB-B01,3,0,3
BRA-B01,4,3,3
BRA-B02,5,3,6
BRA-B03,6,4,9
BRA-B04,7,2,13
BRA-B05,8,4,15
CAB-B01,9,1,19
CAB-B02,10,1,20
CHE-B01,11,1,21
CHM-B01,12,1,22
CHW-B01,13,1,23
CHW-B02,14,1,24
COA-B01,15,2,25
COA-B02,16,1,27
COA-B03,17,2,28
COA-B04,18,4,30
COA-B05,19,4,34
COA-B06,20,2,38
COA-B07,21,3,40
COA-B08,22,1,43
COA-B09,23,1,44
COA-B10,24,1,45
COA-B11,25,2,46
COA-B12,26,3,48
COA-B14,27,2,51
COA-B15,28,3,53
COA-B16,29,2,56
COA-B17,30,1,58
COA-B18,31,0,59
COA-B20,32,2,59
DAR-B01,33,1,61
DAR-B02,34,1,62
DAR-B03,35,7,63
DAR-B04,36,2,70
DAR-B05,37,4,72
DAR-B06,38,7,76
DAR-B07,39,6,83
DAR-B08,40,4,89
DAR-B09,41,3,93
DAR-B10,42,4,96
DAR-B11,43,3,100
DAR-B12,44,2,103
DAR-B13,45,3,105
DAR-B14,46,3,108
DAR-B15,47,3,111
DAR-B16,48,2,114
DAR-B17,49,2,116
DAR-B18,50,4,118
DAR-B19,51,3,122
DAR-B20,52,5,125
DAR-B21,53,7,130
DAR-B22,54,8,137
DAR-B23,55,8,145
DAR-B24,56,7,153
DAR-B25,57,5,160
DAR-B26,58,6,165
DAR-B27,59,5,171
DAR-B28,60,5,176
DAR-B29,61,4,181
DEC-P01,62,1,185
DEC-P02,63,1,186
DEC-P03,64,2,187
DEC-P04,65,1,189
DEC-P05,66,0,190
DEC-R01,67,1,190
DNO-B01,68,1,191
DOM-B01,69,3,192
DSO-B01,70,1,195
DWE-B01,71,0,196
FLH-B01,72,0,196
FLS-B01,73,1,196
FSE-B01,74,1,197
GAL-B01,75,0,198
GAL-B02,76,3,198
GAL-B03,77,2,201
GAL-B04,78,1,203
GAL-B05,79,0,204
GAL-B06,80,0,204
GAL-B07,81,0,204
GAL-B08,82,0,204
GAL-B09,83,2,204
GAL-B10,84,0,206
GAL-B11,85,0,206
GAL-B12,86,0,206
GAL-B13,87,3,206
GAL-B14,88,1,209
GAL-B15,89,1,210
GAL-B16,90,1,211
GAL-B17,91,1,212
GAL-B18,92,1,213
GAL-B19,93,1,214
GAL-B20,94,2,215
GAL-B21,95,3,217
GAL-B22,96,1,220
GAL-B23,97,2,221
GAL-B24,98,1,223
GAL-B25,99,0,224
GAL-B26,100,1,224
GAL-B27,101,1,225
GAL-B28,102,2,226
GAL-B29,103,2,228
GAL-B30,104,1,230
GAL-B31,105,1,231
GEO-B01,106,1,232
GEO-B02,107,2,233
GEO-B03,108,1,235
HAL-B01,109,1,236
HAL-B02,110,1,237
HOR-B01,111,1,238
HOR-B02,112,2,239
HOR-B03,113,1,241
